"L0100NaCl_260,00nm_25,0-85,0C",,"L0100NaCl_260,00nm_85,0-25,0C",,"L0150NaCl_260,00nm_25,0-85,0C",,"L0150NaCl_260,00nm_85,0-25,0C",,"L0200NaCl_260,00nm_25,0-85,0C",,"L0200NaCl_260,00nm_85,0-25,0C",,"L1100NaCl_260,00nm_25,0-85,0C",,"L1100NaCl_260,00nm_85,0-25,0C",,"L1150NaCl_260,00nm_25,0-85,0C",,"L1150NaCl_260,00nm_85,0-25,0C",,"L1200NaCl_260,00nm_25,0-85,0C",,"L1200NaCl_260,00nm_85,0-25,0C",
Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs
25,0.26219273121123587,85,0.34643903190580155,25,0.25045476754951895,85,0.33284359508622063,25,0.2400524446683816,85,0.32486896052036929,25,0.87719303292964967,85,1.1464898921476185,25,0.729554101651079,85,0.95953614361021944,25,0.55878807562762089,85,0.73764200337053343
26,0.26231109562959654,84,0.34648672781073542,26,0.2507282664788506,84,0.33287204428083184,26,0.24005250093985186,84,0.3250341142665209,26,0.87902891568151476,84,1.1475375595912602,26,0.73066250994990745,84,0.96000477918759064,26,0.55970196937699546,84,0.73847783174344106
27,0.26258188684794209,83,0.34628928690669608,27,0.25101976661443931,83,0.33281529414345179,27,0.240114813950189,83,0.32509464132393262,27,0.88107973730340483,83,1.1480962659864271,27,0.73161064017535393,83,0.95986979542943318,27,0.56077237337583219,83,0.73900849365228216
28,0.26312821542049186,82,0.34632026930579,28,0.25130165673481863,82,0.33282637204893056,28,0.24028981854788548,82,0.32501014412520679,28,0.88337827620523479,82,1.1484688027399279,28,0.73280880889093969,82,0.9595594236120486,28,0.56223032134894491,82,0.73900743021477577
29,0.26400614486572743,81,0.34636994901705259,29,0.2517071250232,81,0.33273140351971486,29,0.24068887671079914,81,0.32485103473964327,29,0.88578493818222859,81,1.1487914423092813,29,0.7340382990977139,81,0.95896856192314817,29,0.56364270767678493,81,0.73917296569960644
30,0.2648802955473667,80,0.34637239045804158,30,0.25223545677580905,80,0.33251001809202174,30,0.24120187150296807,80,0.32469350087726684,30,0.88823299085131269,80,1.1488515621834303,30,0.73523493478729784,80,0.95842336004926831,30,0.56478832539273249,80,0.73854138627737853
31,0.26556317621394987,79,0.34631669092368123,31,0.252832267577333,79,0.33237977929231582,31,0.241769770937501,79,0.32453539287199473,31,0.89078815009700041,79,1.1481575087557587,31,0.73649259985763915,79,0.95782393266543442,31,0.56580958358424049,79,0.73788988399139521
32,0.26633658664341525,78,0.346156033596557,32,0.25339333270044356,78,0.33226867974431462,32,0.24244871951081326,78,0.32438687045715547,32,0.89334305956356785,78,1.1471869616759636,32,0.73771873620070316,78,0.95713832357377027,32,0.56684524207812759,78,0.73813836729633653
33,0.26704522448689644,77,0.34599261696292849,33,0.25390931035493775,77,0.33211193251476234,33,0.2430120891163865,77,0.3242130562723301,33,0.89560012133169564,77,1.1464302245014493,33,0.73895559638261166,77,0.95643187682799635,33,0.56796481377607511,77,0.73848263514377732
34,0.26753963992129048,76,0.3458625903084494,34,0.25447185223294905,76,0.33164337259895138,34,0.24345487899775037,76,0.32401518463951579,34,0.89763897810855131,76,1.1457985442148391,34,0.74026668591187916,76,0.95591175589551292,34,0.56910352389239882,76,0.73812300900247774
35,0.26794595184458248,75,0.34577715542365167,35,0.25493338176190394,75,0.3308195736625848,35,0.24385707940517315,75,0.32369296563554406,35,0.8993961372482947,75,1.1452781941323893,35,0.74144721640674283,75,0.95517804919019145,35,0.57001329346291374,75,0.7364226853696807
36,0.2683036600119062,74,0.34560553125101362,36,0.25544517298658842,74,0.32982667006569766,36,0.24418338382314139,74,0.32311691785914065,36,0.90113694123651267,74,1.144678917451569,36,0.74260888594297392,74,0.95415129081523664,36,0.57086629441603431,74,0.73450688938482878
37,0.26874234734271085,73,0.34544396637381791,37,0.25601676602654339,73,0.32888389250128813,37,0.24453392950126332,73,0.321968670357441,37,0.90293092874981851,73,1.143953777911983,37,0.74380689004180411,73,0.9526358880550827,37,0.57181414173768974,73,0.731312866097038
38,0.26924831785127656,72,0.3451997487253618,38,0.25646992369903659,72,0.32771327267178296,38,0.24486736309625695,72,0.31973698886266005,38,0.90466600849660772,72,1.1425923053660609,38,0.74497406730012683,72,0.94956827956909384,38,0.57278229075854048,72,0.72550674096790091
39,0.26972972633656861,71,0.34479081637656461,39,0.25697447906943949,71,0.326203944475097,39,0.24527603280550084,71,0.31582093050395232,39,0.90638454802752355,71,1.1401299684869262,39,0.74615080377157972,71,0.94368468825126339,39,0.57377610716986016,71,0.71569148630751722
40,0.27022343605527471,70,0.34417346041972924,40,0.25749920935241377,70,0.3234613870876164,40,0.24578432866672031,70,0.30973053149390894,40,0.90801499148271259,70,1.1356428240847938,40,0.7472952728820238,70,0.933654877866763,40,0.57476904288377051,70,0.702803892641883
41,0.27077098287394963,69,0.34296623762268946,41,0.25800810068270086,69,0.31898523928447692,41,0.24632832311437536,69,0.30193677144084907,41,0.909545576283471,69,1.1266657339387562,41,0.74837990920607989,69,0.91773979382140258,41,0.575728504936232,69,0.68650045380374025
42,0.27125027288736153,68,0.34048320215957228,42,0.25860188818724278,68,0.31244690686823523,42,0.24694583644620766,68,0.29414386334535947,42,0.91108247826226074,68,1.1111773013273489,42,0.74955052510185183,68,0.89692542597213276,42,0.57671146469781032,68,0.67030531013673544
43,0.27174380575977958,67,0.33629267992219564,43,0.25923886427468468,67,0.30506794413124844,43,0.24753771979393588,67,0.28719140321479264,43,0.912566222090228,67,1.0881495422814518,43,0.75063132183056958,67,0.87379607503001888,43,0.5776242998667257,67,0.65587958013636183
