"L2100NaCl_260,00nm_25,0-85,0C",,"L2100NaCl_260,00nm_85,0-25,0C",,"L2150NaCl_260,00nm_25,0-85,0C",,"L2150NaCl_260,00nm_85,0-25,0C",,"L2200NaCl_260,00nm_25,0-85,0C",,"L2200NaCl_260,00nm_85,0-25,0C",,"L3100NaCl_260,00nm_25,0-85,0C",,"L3100NaCl_260,00nm_85,0-25,0C",,"L3150NaCl_260,00nm_25,0-85,0C",,"L3150NaCl_260,00nm_85,0-25,0C",,"L3200NaCl_260,00nm_25,0-85,0C",,"L3200NaCl_260,00nm_85,0-25,0C",
Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs
44,0.60246258288409,66,0.72122603545172081,44,0.63751907084257287,66,0.70890048999540556,44,0.6323961857033038,66,0.690516559129591,44,0.51007508047143069,66,0.607834320567085,44,0.50947005776347165,66,0.5794032257529621,44,0.50919252410214788,66,0.557404541074699
45,0.602998114768223,65,0.70150491492915779,45,0.63809749526322113,65,0.6954133369688934,45,0.63302820385094616,65,0.68022155211805857,45,0.510500217647279,65,0.59102339428182049,45,0.50998468575210232,65,0.56608587101191044,45,0.50976198644137549,65,0.54968669610632293
46,0.60350188714495578,64,0.68162918455699184,46,0.63868643978639328,64,0.68542086274202008,46,0.6336843203745598,64,0.67362594991086222,46,0.51095171178120113,64,0.57469419420798351,46,0.51048622221701279,64,0.55642624715772337,46,0.51031592544661286,64,0.54430162374898
47,0.60407065060336251,63,0.666843975472319,47,0.63930771975939615,63,0.678236361894469,47,0.63439254575612725,63,0.66867903341290058,47,0.51141561026847049,63,0.55929366452131746,47,0.51104754413846454,63,0.54970644960155624,47,0.51091115742524051,63,0.54042951413712581
48,0.604730022025364,62,0.6566033428164888,48,0.63996748324549491,62,0.6732931994880742,48,0.63503971468990839,62,0.66529244850310265,48,0.51191744703728181,62,0.54945324424758946,48,0.51162869158913471,62,0.545058328778088,48,0.511483900541275,62,0.53801561262468633
49,0.60538980474957671,61,0.64885636716118766,49,0.64065650037266408,61,0.66911381794222713,49,0.63575360703880679,61,0.66300196447738091,49,0.51249349856346738,61,0.542059014528315,49,0.51227614455256332,61,0.5420024800644937,49,0.512079663533131,61,0.53640196177845589
50,0.60609470785638142,60,0.6431743660160385,50,0.64138155696861265,60,0.66664569700763032,50,0.63647432764210521,60,0.66113904826847825,50,0.51311828827710215,60,0.53717398928097171,50,0.51295818119131442,60,0.53981854979009947,50,0.5126937592477796,60,0.53505404121227507
51,0.60685042119153287,59,0.63905508013346779,51,0.642106483249342,59,0.664760493855337,51,0.63711860600829429,59,0.65957850674112328,51,0.51372895241710814,59,0.53374897908154506,51,0.51367900874947359,59,0.53813644194724519,51,0.51333220372626065,59,0.533753542631292
52,0.60768149802441829,58,0.63595104772605715,52,0.64284606492343355,58,0.6631776421315233,52,0.63778350506581594,58,0.65828162673642832,52,0.51439600555281861,58,0.531432450870984,52,0.51440551324962358,58,0.53679220244294423,52,0.51391988409714229,58,0.53286496195070565
53,0.6085633801170981,57,0.63347622997463848,53,0.64361511686103046,57,0.66184590444909863,53,0.63843080283105413,57,0.6571165671837832,53,0.51505326115188954,57,0.52964971981075259,53,0.51508862003430356,57,0.53561822954161986,53,0.51453411108240144,57,0.53203132764051608
54,0.60955681218400237,56,0.6316059955544584,54,0.64444085599541068,56,0.66066830782469477,54,0.63916634856057231,56,0.65611984668326517,54,0.515826529591127,56,0.528279007905891,54,0.51584387102976959,56,0.53460990756438631,54,0.51515184534031822,56,0.53113612523296572
55,0.61073886947472877,55,0.630004423825557,55,0.64536740435168771,55,0.65956392979721135,55,0.63990178145439369,55,0.65524287138973325,55,0.51664853831226121,55,0.5271291151108618,55,0.51667569796849089,55,0.53374418005147406,55,0.51587437247419043,55,0.530331895060065
56,0.61201347158994657,54,0.6286913435226642,56,0.64637142008838977,54,0.65858966333543945,56,0.64066918832998077,54,0.65447506841832548,56,0.51756883670382892,54,0.52617835620811348,56,0.51750718314429389,54,0.53295840055877708,56,0.51654111865163554,54,0.52963928821601491
57,0.61340038845193912,53,0.62759474928045855,57,0.64741816179031431,53,0.65777681840960034,57,0.64147445299425,53,0.65382326217476117,57,0.51859736191982575,53,0.5253620331279456,57,0.51838342713511854,53,0.53220441316592226,57,0.517240270442473,53,0.52901674277444433
58,0.61504721409660978,52,0.62660653294577584,58,0.648691456241766,52,0.65703015946321253,58,0.64245936182259433,52,0.65318398785409193,58,0.51986222411357808,52,0.52467284650911616,58,0.51947488507129747,52,0.53151934645696963,58,0.51806545166080176,52,0.52844221379665357
59,0.61690957386668732,51,0.62571878024858307,59,0.65011122569624835,51,0.65638001033265,59,0.64352075585412916,51,0.65255632990257351,59,0.52130465256539849,51,0.52409502129090368,59,0.52062547397756154,51,0.53085284232509378,59,0.51888101995746516,51,0.52785870217386344
60,0.6192159240416335,50,0.62492521313936256,60,0.65173132347824192,50,0.65578943909289966,60,0.6446861060298088,50,0.65193604631770108,60,0.52294589292041349,50,0.52356872258143294,60,0.52198593714951425,50,0.5302202408186073,60,0.5198224299360239,50,0.52726729386449023
61,0.62226149678524245,49,0.62413983437182041,61,0.65355044367505422,49,0.65515194927674059,61,0.64610065273490136,49,0.65133829669150189,61,0.5251416639345392,49,0.52308429508129739,61,0.523508838686769,49,0.52959291170440415,61,0.52085405779357885,49,0.52667153812727852
62,0.62651571940382655,48,0.6234532134027716,62,0.655623811570275,48,0.65458141606235942,62,0.6476201506024355,48,0.65078802056124507,62,0.52813007274529211,48,0.52261048252348319,62,0.52538674525503559,48,0.5289989163783686,62,0.52203000127504406,48,0.52609894800433776
63,0.63216554556200144,47,0.62275776702420071,63,0.65815710537135619,47,0.65399599221771065,63,0.649477467801774,47,0.6502350419439703,63,0.532511674803507,47,0.52214220026159086,63,0.52773602268162467,47,0.52838392091638064,63,0.52333391143102626,47,0.52555151496890873
64,0.64034185732383908,46,0.62208498019404312,64,0.66179504302034153,46,0.65345620362463064,64,0.65191401416536865,46,0.64968382261911239,64,0.53911702583477039,46,0.52165525915207644,64,0.5313050920602691,46,0.52778121742283834,64,0.52505135788493229,46,0.52501321698652681
65,0.65120728623926727,45,0.62144429154541159,65,0.66686208419572279,45,0.65293425269722449,65,0.6552161506190578,45,0.64911129816192281,65,0.54846354430468913,45,0.52119450348616914,65,0.53652103042853,45,0.527167054159335,65,0.52728329977334332,45,0.52445087027899018
