"Y_260,00nm_25,0-85,0C",,"Y_260,00nm_85,0-25,0C",,"L1_260,00nm_25,0-85,0C",,"L1_260,00nm_85,0-25,0C",,"L4100NaCl_260,00nm_25,0-85,0C",,"L4100NaCl_260,00nm_85,0-25,0C",,"L4150NaCl_260,00nm_25,0-85,0C",,"L4150NaCl_260,00nm_85,0-25,0C",,"L4200NaCl_260,00nm_25,0-85,0C",,"L4200NaCl_260,00nm_85,0-25,0C",,"L5_260,00nm_25,0-85,0C",,"L5_260,00nm_85,0-25,0C",,"L6_260,00nm_25,0-85,0C",,"L6_260,00nm_85,0-25,0C",
Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs
57,0.8127687736366852,53,0.800547545,57,0.92814379112174894,53,0.99274465176839211,57,1.0385988458268833,53,1.1229937428238128,57,1.2473811263739965,53,1.3440610833137652,57,1.2057646736331731,53,1.3148074033557307,57,0.89470088141275739,53,0.9762120302067443,57,0.90203965542065512,53,0.98673180781051262
58,0.82842677440904522,52,0.78674274478556794,58,0.93136972385499983,52,0.98983286356976463,58,1.0450892162053147,52,1.1188627944480307,58,1.2537484822956015,52,1.3385993761911585,58,1.2171245920099465,52,1.3086425717864412,58,0.90332074409765239,52,0.97250525526687193,58,0.90946962153574051,52,0.98212141502238648
59,0.837937197,51,0.77613355859446342,59,0.9363482897397627,51,0.9869188891233337,59,1.0536267244752346,51,1.1145100430268757,59,1.2605495435580483,51,1.3328756879521266,59,1.2296347088459929,51,1.3032524265530807,59,0.909295078,51,0.96844446574869369,59,0.91738918424498817,51,0.97695007503213371
60,0.84229995244585965,50,0.76873094878079473,60,0.94331657158559423,50,0.984018711,60,1.0637740939480083,50,1.1099683650132355,60,1.2676431932734209,50,1.3277566498656848,60,1.2421845958379594,50,1.2979670876432323,60,0.91454804930586453,50,0.9638456830018225,60,0.925551916,50,0.97144429258733855
61,0.844469964,49,0.76343750585010139,61,0.9525334497095399,49,0.9811038404396526,61,1.0754360183586216,49,1.1049965290940875,61,1.2748093043909559,49,1.3230532976872931,61,1.2535358105838783,49,1.2930777982063153,61,0.920981093,49,0.95922106875036561,61,0.93496139223245744,49,0.96594077972035131
62,0.845938545,48,0.75948531654935925,62,0.96587906352195252,48,0.97806801489230921,62,1.0908930756499016,48,1.0996403685767333,62,1.2823983307907825,48,1.3188146278002251,62,1.2643489818685762,48,1.2882444181054185,62,0.92864230099202283,48,0.95482740568506863,62,0.94604586816129144,48,0.96068872935257643
63,0.84700051065647308,47,0.756598203,63,0.98117057671374741,47,0.97516189,63,1.1101476177600251,47,1.0943166286773665,63,1.2897622667351654,47,1.3148089964668344,63,1.2756519022936348,47,1.2824289070102681,63,0.938564897,47,0.95083076258841426,63,0.95923787965217944,47,0.95607064552556809
64,0.84794372533923767,46,0.75433887325743554,64,1.0007064399745882,46,0.97220166466993818,64,1.1342703385686745,46,1.0888060812486153,64,1.2976813449741775,46,1.3105836081310183,64,1.2875862685301664,46,1.2759835263492318,64,0.95120373,46,0.94719351460570167,64,0.97579014161505928,46,0.9519073191379076
65,0.848673672,45,0.75250768949938285,65,1.0242957915581088,45,0.96898048684408478,65,1.163459390054211,45,1.0836207806325753,65,1.3071365379918385,45,1.3063242794648573,65,1.3007950705330749,45,1.2701165704927526,65,0.96732886815784447,45,0.94399070857574874,65,0.996606003,45,0.94849315776746146
66,0.84930889175812552,44,0.75105598885590252,66,1.0496126155047063,44,0.96578580642126888,66,1.1926712908594326,44,1.0797237430145976,66,1.3187180284789815,44,1.3024090855098911,66,1.3168716569436596,44,1.2651370451989932,66,0.98766137078415839,44,0.94050129043822561,66,1.0211038442882336,44,0.94520606183120193
67,0.85002261270598112,43,0.7496824924422304,67,1.0744960491965954,43,0.96292665124158994,67,1.219427887462833,43,1.0770939940728246,67,1.3348502331568333,43,1.2996972221794816,67,1.3373419943269969,43,1.2622884234738925,67,1.0113027629007054,43,0.93720860007443429,67,1.0473758297969029,43,0.9415148558933325
68,0.85077768450334923,42,0.74841923642224406,68,1.0949653280271587,42,0.9604024682371789,68,1.2398981887826304,42,1.0747360045530125,68,1.3566774637071786,42,1.2976281095936419,68,1.3627572158224446,42,1.2605438286937625,68,1.0358318097744297,42,0.934684278,68,1.0730322410700772,42,0.93774782484498087
69,0.85152857377591884,41,0.74717094,69,1.1096991667187308,41,0.95795644864885743,69,1.2546889599010105,41,1.0724962970252312,69,1.3850295730704358,41,1.2955627010937329,69,1.3922980317855638,41,1.258674369451803,69,1.0573542514722427,41,0.93285172157482765,69,1.0943622174301959,41,0.93479272573671379
70,0.85228882722275345,40,0.74596692448978774,70,1.1198777504137398,40,0.95576734650761719,70,1.2657731890299297,40,1.0700739538401971,70,1.4176034908518242,40,1.2933429285775602,70,1.4258491589914344,40,1.2559825722389033,70,1.0744928709711843,40,0.93117737455177674,70,1.1105642667027953,40,0.93288958679498013
71,0.85299327204142383,39,0.74481724847789432,71,1.1267806794602151,39,0.95371359144819612,71,1.2750437233483229,39,1.0676261008023751,71,1.4495866642474733,39,1.2906384080221327,71,1.4586753464880564,39,1.2526744235377636,71,1.0865339262266709,39,0.92957696709265158,71,1.1217889091197157,39,0.93136007151643607
72,0.85373321194747731,38,0.7437206656093166,72,1.1325006159431292,38,0.951667245,72,1.2837138342442038,38,1.0657400942613842,72,1.4760767811083579,38,1.2878647437504283,72,1.4857358660244155,38,1.249004989973157,72,1.0950755630238356,38,0.92801152447730861,72,1.1309435559169161,38,0.92985939498912251
73,0.85443002691588832,37,0.742621357,73,1.1373450823462821,37,0.949594934,73,1.2922457280610651,37,1.0635571166968978,73,1.495930397192313,37,1.2851748455471712,73,1.5067209299503797,37,1.2447891365138291,73,1.1023542987596822,37,0.92634835129022108,73,1.1391066233791212,37,0.92867052907792524
74,0.85518234702022256,36,0.74160598,74,1.141964071221468,36,0.94766671339952369,74,1.3006681823559252,36,1.0611781108763727,74,1.5099780919323558,36,1.2828989167577058,74,1.5217328171112998,36,1.240049874330621,74,1.1090301312915511,36,0.92469786652455055,74,1.1464975856432744,36,0.92754012405921615
75,0.855904242,35,0.7407095520454593,75,1.146115245147066,35,0.94577465033207586,75,1.3084970550519961,35,1.0593446800965725,75,1.5205259486128759,35,1.2808632917927965,75,1.5334176987775592,35,1.2353745068345188,75,1.115590793784913,35,0.92321394456495687,75,1.1538247215919164,35,0.92640141469343107
76,0.85666214655582718,34,0.73982170798641766,76,1.1506360590972449,34,0.9440956781974289,76,1.3158610356186342,34,1.0577021448457538,76,1.5298055538873587,34,1.2788740625167443,76,1.5440895706495923,34,1.2314463568020075,76,1.1222502009061015,34,0.92183955809524176,76,1.1609517197872277,34,0.92516734486676089
77,0.85740187228624465,33,0.73894543825316172,77,1.1550695680963359,33,0.94259502068577283,77,1.3225870042312646,33,1.0560079213203797,77,1.5386762789525161,33,1.2767950106030106,77,1.5537720399064485,33,1.2281772669478488,77,1.1282153564253057,33,0.92045575606064711,77,1.1678644934346558,33,0.92384563
78,0.85820002076869528,32,0.73811135,78,1.159458965703001,32,0.94124002612390811,78,1.3285127226020517,32,1.0545308373460787,78,1.547290287245243,32,1.2745652921994564,78,1.5644961235099926,32,1.2251329546149745,78,1.1345472196760693,32,0.91895894810671519,78,1.1742964142736805,32,0.92251380340638012
79,0.85903753559128493,31,0.73728970695026075,79,1.1637096804558429,31,0.93965784377575434,79,1.3339991179569175,31,1.0530648229563639,79,1.5558701145851734,31,1.272242022,79,1.5750598416687622,31,1.222169127333361,79,1.1403287257204278,31,0.91745380613252858,79,1.1800903480607448,31,0.92110353968997327
80,0.85991118157274982,30,0.73654482910323016,80,1.1679376506301957,30,0.93824473996288393,80,1.3386759879965693,30,1.0511803087272715,80,1.5635082336098378,30,1.2701706813687765,80,1.5861251723463616,30,1.2187722261213212,80,1.1458804745156372,30,0.91600867797745766,80,1.185501321621464,30,0.919989261
81,0.86076333646755254,29,0.73583593918649837,81,1.1720186137961928,29,0.93678310874665649,81,1.343061559532831,29,1.0492454777666476,81,1.5716434922638418,29,1.268325311,81,1.5969103009354857,29,1.2154729174158903,81,1.1505881835318683,29,0.91477720754478042,81,1.1902871159804491,29,0.91891191723248988
82,0.86166336513197084,28,0.73506768177268433,82,1.1758443336189868,28,0.93515228307824139,82,1.3468488123743456,28,1.047756288907294,82,1.5794152151901517,28,1.2665184948612509,82,1.6078748734388002,28,1.2126200612704956,82,1.1547830136277653,28,0.91368503980400106,82,1.1948778114933041,28,0.91789396314858129
83,0.86263613327285449,27,0.73439002786654484,83,1.1795534316585197,27,0.93353714650537079,83,1.3503039486795869,27,1.0466735799889457,83,1.5867233120415269,27,1.264876989457735,83,1.6175880425455074,27,1.2098738847643888,83,1.1586274625872208,27,0.91276678724568994,83,1.1988930833618239,27,0.91678237288828412
84,0.863498601,26,0.73358993262414873,84,1.1829977627340815,26,0.93189772472932764,84,1.3533355640330802,26,1.0457254051611364,84,1.5930986799340634,26,1.2631358611223444,84,1.625180996182606,26,1.2072740937425575,84,1.1621540811378717,26,0.911768506,84,1.2023770401510698,26,0.91553860679708721
84.699996948242188,0.86403149004048441,25.299999237060547,0.73306338669150806,84.699996948242188,1.1850559729601373,25.299999237060547,0.93082205254877681,84.699996948242188,1.3552490198792704,25.299999237060547,1.0453447266285227,84.699996948242188,1.5968964459423398,25.299999237060547,1.2620046678609493,84.699996948242188,1.6294824350646295,25.299999237060547,1.2057164554671411,84.699996948242188,1.1644734120264788,25.299999237060547,0.91109398660903074,84.699996948242188,1.2046673168341309,25.299999237060547,0.91471931852690369
