"Y_260,00nm_25,0-85,0C",,"Y_260,00nm_85,0-25,0C",,"L0_260,00nm_25,0-85,0C",,"L0_260,00nm_85,0-25,0C",,"Y+L0_260,00nm_25,0-85,0C",,"Y+L0_260,00nm_85,0-25,0C",,"Y+2L0_260,00nm_25,0-85,0C",,"Y+2L0_260,00nm_85,0-25,0C",,"Y+3L0_260,00nm_25,0-85,0C",,"Y+3L0_260,00nm_85,0-25,0C",,"Y+4L0_260,00nm_25,0-85,0C",,"Y+4L0_260,00nm_85,0-25,0C",,"Y+L0+L2_260,00nm_25,0-85,0C",,"Y+L0+L2_260,00nm_85,0-25,0C",
Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs
48,1.0823380933058628,62,0.706908433347502,48,0.40093453334749396,62,0.49187400921810226,48,1.0162813352844187,62,1.0981452085834387,48,1.1004818643284253,62,1.6495890894468015,48,1.104009883220598,62,2.1274711286717163,48,1.3087251806685061,62,2.4984288141526689,48,4.7359469332240645,62,4.9757608522939147
49,1.0940645203261166,61,0.69504744290568077,49,0.40740424419490617,61,0.48777557651905745,49,1.0602760529859891,61,1.068959734283629,49,1.147875795449335,61,1.6003760819253157,49,1.1323481808727525,61,2.08773623515296,49,1.3893205682745817,61,2.4582044600094064,49,4.8010499259051791,61,4.9777944351924317
50,1.1104901777534137,60,0.68368268025788714,50,0.41409473998163726,60,0.48474389240740967,50,1.1129663916593062,60,1.0521367189512869,50,1.1992548422909985,60,1.5612912247270392,50,1.1578610949321642,60,2.0504939843346355,50,1.4702325729383827,60,2.4251183291001821,50,4.8391646611120045,60,4.9757307443112717
51,1.1293596351037882,59,0.676711787215624,51,0.4213574805289676,59,0.4825614034450032,51,1.1715486621525832,59,1.0386459327844946,51,1.2554930753083997,59,1.5562208801383735,51,1.1837684140321123,59,2.023049620039199,51,1.5595250594868666,59,2.4047943187377165,51,4.8892690838188919,59,4.9676708729892525
52,1.1481951328805144,58,0.67802136771320531,52,0.428892650399141,58,0.48071524020917539,52,1.2387731597590679,58,1.0304169180388845,52,1.3221293227728734,58,1.5468071489284545,52,1.2102154648925147,58,2.0050817119196682,52,1.6590930139653941,58,2.3961434787174851,52,4.9225110306060875,58,4.9484269035998008
53,1.16710606331944,57,0.672164180907323,53,0.43604446811725384,57,0.47910405455509003,53,1.3191436669601906,57,1.0225940454192775,53,1.4020130889170699,57,1.5291690715599939,53,1.2445251321814967,57,1.9882561154051135,53,1.7750911530522273,57,2.3760630390078417,53,4.9398651730673624,57,4.955277569749633
54,1.1846282544306967,56,0.65975934313814411,54,0.4429106556432259,56,0.47764789089319321,54,1.4121752969018087,56,1.0129895461242455,54,1.5001156007352154,56,1.5084772164038343,54,1.2909187785021738,56,1.9729272450390531,54,1.9087904238776647,56,2.3626822995112216,54,4.9753829129743208,56,4.963105796481396
55,1.2025914126182684,55,0.64586297653925262,55,0.44917399676863545,55,0.47645158299397267,55,1.5045746393367658,55,1.0040359547939008,55,1.6246310315468611,55,1.4897985319836564,55,1.3456780235835184,55,1.9498965960130452,55,2.0473798921930162,55,2.3457228915087329,55,4.9959390365475445,55,4.9379105737710578
56,1.2211775003284748,54,0.63243384044285067,56,0.45457679382762461,54,0.47538984776855192,56,1.5548099928352648,54,0.99500491440835648,56,1.789877162640519,54,1.4701533976754055,56,1.4185810056041219,54,1.9313027098919695,56,2.2140797284538554,54,2.3276038026708807,56,5.00864077877328,54,4.9525696991268049
57,1.2382846671227532,53,0.62100215237187839,57,0.45945841110483893,53,0.47433738880809073,57,1.5836481388390504,53,0.97981030286077164,57,1.9705700280889311,53,1.4514708290318348,57,1.5122213441612988,53,1.9097589166829463,57,2.4104958368968261,53,2.3026615172722735,57,5.0584171078341953,53,4.9430420385526235
